Komentar,label
"[ 'mohon ' , 'maaf ' , 'suaranya ' , 'headset ' , 'mendengarkannya ' , 'materi ' , 'mudah ' , 'pahami ' , 'terimakasih ' , 'kasih ' ]",positif
"[ 'terima ' , 'kasih ' , 'masukannya ' , 'video ' , 'perangkat ' , 'seadanya ' , 'blm ' , 'optim ' ]",positif
"[ 'terima ' , 'kasih ' , 'penjelasannya ' , 'mudah ' , 'dipahami ' ]",positif
"[ 'terima ' , 'kasih ' , 'ilmunya ' , 'bermanfaat ' ]",positif
"[ 'bermanfaat ' , 'materinya ' , 'terimakasii ' ]",positif
"[ 'terimkasih ' , 'materi ' , 'mudah ' , 'pahami ' ]",positif
"[ 'materi ' , 'mudah ' , 'dipahami ' ]",positif
"[ 'terima ' , 'kasih ' , 'mudah ' , 'dipahami ' ]",positif
"[ 'terima ' , 'kasih ' , 'penjelasannya ' , 'mudah ' , 'dipahami ' ]",positif
"[ 'terima ' , 'kasih ' , 'penjelasannya ' , 'mudah ' , 'dipahami ' ]",positif
"[ 'terimakasih ' , 'penjelasan ' , 'materi ' , 'literatur ' , 'review ' , 'mudah ' , 'dipahami ' ]",positif
"[ 'penjelasan ' , 'literatur ' , 'review ' , 'sauamh ' , 'materinya ' , 'lengkap ' ]",negatif
"[ 'penjelasan ' , 'tahapan ' , 'literatur ' , 'review ' , 'mudah ' , 'dipahami ' , 'terimakasih ' ]",positif
"[ 'mudah ' , 'dipahami ' , 'mudah ' , 'dimengertitetapi ' , 'suaranya ' ]",positif
"[ 'penjelasan ' , 'tetang ' , 'tahapan ' , 'literatur ' , 'review ' , 'lengkap ' , 'terima ' , 'kasih ' ]",netral
"[ 'materi ' , 'mudah ' , 'dipahami ' , 'suara ' , 'dipahami ' ]",positif
"[ 'terimakasih ' , 'videonya ' , 'membantu ' ]",positif
"[ 'penjelasan ' , 'tahapan ' , 'literatur ' , 'review ' , 'mudah ' , 'dipahami ' , 'terimakasih ' ]",positif
"[ 'terimakasi ' , 'vidio ' , 'bermanfaat ' , 'gampang ' , 'mengerti ' , 'literatur ' , 'review ' ]",positif
"[ 'suara ' , 'terdengar ' , 'memahami ' ]",positif
"[ 'penjelasan ' , 'materi ' , 'literatur ' , 'review ' , 'mudah ' , 'dipahami ' , 'dipelajari ' , 'terima ' , 'kasih ' ]",positif
"[ 'penjelasan ' , 'materi ' , 'pahami ' , 'membantu ' , 'terima ' , 'kasih ' ]",netral
"[ 'penjelasan ' , 'materinya ' , 'lengkap ' , 'mudah ' , 'dipahami ' , 'terima ' , 'kasih ' ]",positif
"[ 'suaranya ' , 'materinya ' , 'literatur ' , 'review ' , 'mudah ' , 'dipahami ' ]",positif
"[ 'video ' , 'paham ' , 'tahapan ' , 'literatur ' , 'review ' , 'terima ' , 'kasih ' ]",positif
"[ 'penjelasannya ' , 'tahapan ' , 'literatur ' , 'review ' , 'dipahami ' ]",negatif
"[ 'terimakasi ' , 'vidio ' , 'bermanfaat ' , 'gampang ' , 'mengerti ' , 'literatur ' , 'review ' ]",positif
"[ 'dalam ' , 'materi ' , 'literatur ' , 'review ' , 'mendetail ' ]",positif
"[ 'penjelasannya ' , 'mudah ' , 'dipahami ' , 'terima ' , 'kasih ' ]",positif
"[ 'bermanfaat ' , 'mudah ' , 'dipahami ' ]",positif
"[ 'pembawaan ' , 'materi ' , 'literatur ' , 'review ' , 'mudah ' , 'dipahami ' ]",positif
"[ 'ilmunya ' , 'bermanfaat ' , 'tahapan ' , 'literatur ' , 'trimakasih ' ]",positif
"[ 'penjelasan ' , 'tahapan ' , 'literatur ' , 'review ' , 'mudah ' , 'dipahami ' , 'terimakasih ' ]",positif
"[ 'penjelasan ' , 'tahapan ' , 'literatur ' , 'review ' , 'mudah ' , 'dipahami ' , 'terimakasih ' ]",positif
"[ 'terima ' , 'kasih ' , 'penjelasannya ' , 'bermanfaat ' ]",positif
"[ 'penjelasannya ' , 'tahapan ' , 'literatur ' , 'review ' , 'dipahami ' ]",negatif
"[ 'paham ' , 'menonton ' , 'video ' ]",negatif
"[ 'suaranya ' , 'terdengar ' , 'materi ' , 'mudah ' , 'dipahami ' ]",positif
"[ 'sangat ' , 'membantu ' , 'terimakasih ' ]",positif
"[ 'terima ' , 'kasih ' , 'jawss ' , 'ki ' , 'kunjungan ' , 'apresiasinya ' ]",positif
"[ 'penjelasan ' , 'mudah ' , 'dipahami ' , 'suaranya ' , 'kencang ' ]",positif
"[ 'terima ' , 'kasih ' , 'fadhil ' , 'muhammad ' , 'aga ' , 'kunjungan ' , 'apresiasinya ' ]",positif
"[ 'maaf ' , 'pak ' , 'brbagaimana ' , 'literatur ' , 'review ' ]",negatif
[ 'video ' ],netral
"[ 'penjelasan ' , 'tetang ' , 'tahapan ' , 'literatur ' , 'review ' , 'lengkap ' , 'terima ' , 'kasih ' ]",netral
"[ 'penelitian ' , 'literatur ' , 'review ' ]",netral
"[ 'pada ' , 'literatur ' , 'review ' , 'dlm ' , 'penelitian ' , 'dasarnya ' , 'penelitian ' , 'butuh ' , 'referensi ' , 'penel ' ]",negatif
"[ 'terima ' , 'kasih ' , 'ilmunya ' , 'bermanfaat ' ]",positif
"[ 'suara ' , 'kedengeran ' ]",positif
"[ 'terimakasih ' , 'penjelasan ' , 'suaranya ' ]",positif
"[ 'terimakasih ' , 'penjelasan ' , 'video ' , 'materi ' , 'literatur ' , 'review ' , 'dimengerti ' , 'suara ' , 'videonya ' , 'tendengar ' ]",positif
"[ 'kelemahan ' , 'literatur ' , 'menyebutkannya ' , 'berdasarkan ' , 'teori ' , 'berlandaskan ' , 'pendapat ' , 'pribadi ' , 'pak ' , 'terima ' , 'kasih ' ]",positif
"[ 'boleh ' , 'pendapat ' , 'pribadi ' , 'ilmiah ' ]",netral
"[ 'selain ' , 'literatur ' , 'review ' , 'metod ' ]",negatif
"[ 'literatur ' , 'review ' , 'metod ' , 'tahapan ' , 'penelitian ' ]",negatif
"[ 'apakah ' , 'websit ' , 'mencari ' , 'pustaka ' , 'berbayar ' ]",negatif
"[ 'mohon ' , 'maaf ' , 'suara ' , 'materi ' , 'dipahami ' , 'mudah ' , 'dimengerti ' ]",positif
"[ 'literatur ' , 'review ' , 'diata ' , 'literatur ' ]",negatif
"[ 'ga ' , 'paham ' , 'maksud ' , 'pertanyaannya ' , 'metod ' , 'literatur ' , 'review ' , 'gmn ' ]",negatif
"[ 'suaranya ' , 'terdengar ' , 'konsentrasi ' , 'mendengarkan ' , 'penjelasannya ' ]",positif
"[ 'bagaimana ' , 'literatur ' , 'review ' , 'paper ' , 'lengkap ' ]",negatif
"[ 'lebih ' , 'diabaikan ' ]",negatif
"[ 'walaupun ' , 'suaranya ' , 'terdengar ' , 'penjelasannya ' , 'menarik ' , 'mudah ' , 'pahami ' ]",positif
"[ 'walaupun ' , 'suaranya ' , 'terdengar ' , 'penjelasannya ' , 'menarik ' , 'mudah ' , 'pahami ' ]",positif
"[ 'mohon ' , 'maaf ' , 'audio ' , 'video ' , 'terdengar ' ]",positif
"[ 'suaranya ' , 'terdengar ' , 'materi ' , 'pahami ' ]",positif
"[ 'maaf ' , 'suara ' , 'video ' , 'terdengar ' , 'pelan ' ]",positif
"[ 'analyz ' , 'tahapanya ' , 'pilih ' , 'salah ' , 'melewatkan ' , 'tahapanya ' , 'tergolong ' , 'literatur ' , 'review ' ]",negatif
"[ 'salah ' , 'sesuai ' , 'kebutuhan ' , 'review ' ]",negatif
"[ 'prose ' , 'search ' , 'read ' , 'paper ' , 'dibaca ' ]",positif
[ 'baca ' ],positif
"[ 'suaranya ' , 'terdengar ' , 'penjelasannya ' , 'menarik ' ]",positif
"[ 'paham ' , 'materi ' , 'audio ' , 'keci ' ]",netral
"[ 'pada ' , 'bagian ' , 'draft ' , 'menuliskan ' , 'review ' , 'dalam ' , 'menuliskan ' , 'suatu ' , 'review ' , 'bahasa ' , 'mencari ' , 'tujuan ' , 'review ' , 'bahasa ' ]",negatif
"[ 'lebih ' , 'bahasa ' ]",negatif
"[ 'mengapa ' , 'kebanyakan ' , 'orang ' , 'memilih ' , 'mendeley ' , 'dibandingkan ' , 'zotero ' , 'endnot ' , 'mengelola ' , 'pustaka ' ]",positif
"[ 'lebih ' , 'mudah ' ]",positif
"[ 'terima ' , 'kasih ' , 'penjelasannya ' , 'suara ' , 'audionya ' , 'kyknya ' , 'selebihnya ' ]",positif
"[ 'apakah ' , 'rangkuman ' , 'penelitian ' , 'wajib ' , 'tabel ' ]",negatif
[ 'narasi ' ],negatif
